Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
742,0<=X<200,all paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,X<=23,unskilled resident,good
743,no checking,existing paid,radio/tv,2500<=X<5000,no known savings,>=7,male single,40<X<=50,skilled,good
744,<0,all paid,furniture/equipment,1000<=X<2500,500<=X<1000,1<=X<4,male single,X<=23,skilled,good
745,<0,critical/other existing credit,furniture/equipment,X>=10000,no known savings,4<=X<7,male single,23<X<=30,high qualif/self emp/mgmt,good
746,<0,critical/other existing credit,business,1000<=X<2500,<100,<1,male single,23<X<=30,unskilled resident,good
747,<0,existing paid,new car,2500<=X<5000,<100,unemployed,female div/dep/mar,X<=23,skilled,good
748,<0,existing paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,unskilled resident,bad
749,no checking,existing paid,used car,5000<=X<10000,no known savings,1<=X<4,male single,23<X<=30,skilled,good
750,no checking,existing paid,used car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,skilled,good
751,<0,existing paid,furniture/equipment,X<1000,<100,>=7,female div/dep/mar,40<X<=50,skilled,good
752,<0,existing paid,new car,X<1000,<100,<1,female div/dep/mar,X<=23,unskilled resident,bad
753,0<=X<200,existing paid,business,X<1000,100<=X<500,4<=X<7,female div/dep/mar,X<=23,unskilled resident,good
754,no checking,critical/other existing credit,radio/tv,5000<=X<10000,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
755,no checking,delayed previously,repairs,1000<=X<2500,>=1000,>=7,male single,50<X<=60,skilled,bad
756,<0,existing paid,new car,1000<=X<2500,no known savings,4<=X<7,female div/dep/mar,30<X<=40,skilled,bad
757,>=200,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,X>60,unemp/unskilled non res,good
758,>=200,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,1<=X<4,male single,30<X<=40,skilled,bad
759,no checking,existing paid,new car,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
760,<0,critical/other existing credit,new car,X<1000,<100,>=7,male single,30<X<=40,skilled,bad
761,no checking,critical/other existing credit,new car,5000<=X<10000,no known savings,>=7,female div/dep/mar,50<X<=60,skilled,good
762,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
763,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
764,no checking,critical/other existing credit,new car,X>=10000,no known savings,>=7,male single,23<X<=30,high qualif/self emp/mgmt,bad
765,no checking,critical/other existing credit,new car,1000<=X<2500,100<=X<500,4<=X<7,male mar/wid,23<X<=30,skilled,good
766,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,>=7,male mar/wid,30<X<=40,unskilled resident,good
767,<0,existing paid,furniture/equipment,2500<=X<5000,<100,<1,male div/sep,30<X<=40,unskilled resident,bad
768,no checking,existing paid,used car,2500<=X<5000,no known savings,<1,female div/dep/mar,30<X<=40,skilled,good
769,0<=X<200,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,>=7,male single,23<X<=30,skilled,good
770,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male single,X>60,unskilled resident,good
771,<0,existing paid,used car,2500<=X<5000,no known savings,>=7,female div/dep/mar,23<X<=30,skilled,good
772,<0,critical/other existing credit,education,5000<=X<10000,<100,1<=X<4,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,bad
773,no checking,critical/other existing credit,used car,2500<=X<5000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
774,no checking,critical/other existing credit,radio/tv,1000<=X<2500,100<=X<500,>=7,male single,50<X<=60,skilled,good
775,>=200,critical/other existing credit,new car,1000<=X<2500,500<=X<1000,unemployed,male single,X>60,unemp/unskilled non res,good
776,<0,existing paid,new car,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
777,no checking,critical/other existing credit,new car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,skilled,good
778,<0,existing paid,radio/tv,2500<=X<5000,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
779,no checking,critical/other existing credit,used car,5000<=X<10000,>=1000,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
780,0<=X<200,existing paid,repairs,2500<=X<5000,<100,unemployed,female div/dep/mar,X>60,skilled,good
781,0<=X<200,critical/other existing credit,radio/tv,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,bad
782,no checking,critical/other existing credit,new car,1000<=X<2500,>=1000,>=7,male single,50<X<=60,skilled,good
783,0<=X<200,no credits/all paid,retraining,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
784,0<=X<200,existing paid,new car,X<1000,100<=X<500,<1,female div/dep/mar,X<=23,unskilled resident,bad
785,0<=X<200,existing paid,used car,5000<=X<10000,no known savings,unemployed,male div/sep,50<X<=60,high qualif/self emp/mgmt,good
786,0<=X<200,existing paid,business,1000<=X<2500,>=1000,1<=X<4,male single,30<X<=40,unskilled resident,good
787,no checking,existing paid,radio/tv,2500<=X<5000,500<=X<1000,>=7,male single,30<X<=40,skilled,good
788,no checking,critical/other existing credit,used car,2500<=X<5000,no known savings,>=7,male single,30<X<=40,skilled,good
789,0<=X<200,delayed previously,education,5000<=X<10000,<100,>=7,male single,40<X<=50,skilled,bad
790,<0,critical/other existing credit,education,5000<=X<10000,<100,1<=X<4,male single,23<X<=30,skilled,bad
791,0<=X<200,existing paid,business,1000<=X<2500,<100,>=7,female div/dep/mar,30<X<=40,skilled,bad
792,no checking,existing paid,used car,5000<=X<10000,no known savings,>=7,male single,40<X<=50,high qualif/self emp/mgmt,good
793,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,no known savings,1<=X<4,male mar/wid,23<X<=30,skilled,good
794,>=200,existing paid,furniture/equipment,2500<=X<5000,<100,>=7,male div/sep,50<X<=60,skilled,good
795,no checking,existing paid,furniture/equipment,2500<=X<5000,500<=X<1000,>=7,male single,30<X<=40,skilled,good
796,no checking,existing paid,furniture/equipment,1000<=X<2500,100<=X<500,<1,female div/dep/mar,X<=23,skilled,good
797,<0,existing paid,used car,5000<=X<10000,no known savings,>=7,male single,50<X<=60,skilled,bad
798,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,unskilled resident,good
799,no checking,delayed previously,new car,X<1000,no known savings,>=7,male mar/wid,50<X<=60,skilled,good
800,0<=X<200,existing paid,new car,1000<=X<2500,no known savings,<1,male single,30<X<=40,unemp/unskilled non res,good
801,no checking,critical/other existing credit,education,1000<=X<2500,<100,>=7,male single,50<X<=60,skilled,good
802,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,female div/dep/mar,40<X<=50,unskilled resident,good
803,<0,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,>=7,female div/dep/mar,23<X<=30,skilled,good
804,no checking,critical/other existing credit,radio/tv,X<1000,no known savings,>=7,male single,30<X<=40,skilled,good
805,0<=X<200,existing paid,new car,5000<=X<10000,no known savings,unemployed,female div/dep/mar,23<X<=30,unemp/unskilled non res,good
806,<0,existing paid,new car,5000<=X<10000,<100,4<=X<7,male single,23<X<=30,skilled,bad
807,0<=X<200,existing paid,radio/tv,X<1000,<100,<1,male mar/wid,23<X<=30,unskilled resident,good
808,no checking,critical/other existing credit,radio/tv,X<1000,no known savings,>=7,male single,X>60,skilled,good
809,0<=X<200,all paid,used car,5000<=X<10000,<100,unemployed,male single,50<X<=60,high qualif/self emp/mgmt,good
810,0<=X<200,no credits/all paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,unemp/unskilled non res,bad
811,0<=X<200,existing paid,business,X<1000,<100,<1,male mar/wid,23<X<=30,skilled,good
812,0<=X<200,existing paid,radio/tv,X<1000,<100,4<=X<7,male mar/wid,23<X<=30,unskilled resident,good
813,<0,critical/other existing credit,used car,5000<=X<10000,<100,4<=X<7,male single,23<X<=30,skilled,bad
814,<0,existing paid,domestic appliance,2500<=X<5000,<100,1<=X<4,male single,50<X<=60,skilled,bad
815,<0,existing paid,new car,2500<=X<5000,<100,4<=X<7,male single,40<X<=50,skilled,bad
816,0<=X<200,delayed previously,new car,5000<=X<10000,<100,1<=X<4,female div/dep/mar,50<X<=60,skilled,good
817,no checking,existing paid,domestic appliance,1000<=X<2500,500<=X<1000,1<=X<4,male div/sep,X>60,skilled,good
818,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
819,<0,existing paid,other,X>=10000,<100,unemployed,male div/sep,40<X<=50,high qualif/self emp/mgmt,good
820,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,skilled,bad
821,no checking,existing paid,new car,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,skilled,good
822,>=200,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male mar/wid,23<X<=30,skilled,good
823,<0,existing paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,bad
824,<0,critical/other existing credit,new car,X<1000,<100,>=7,male single,40<X<=50,unskilled resident,good
825,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,<1,male div/sep,30<X<=40,high qualif/self emp/mgmt,good
826,<0,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male mar/wid,23<X<=30,skilled,good
827,<0,critical/other existing credit,new car,2500<=X<5000,<100,>=7,female div/dep/mar,30<X<=40,skilled,bad
828,no checking,no credits/all paid,business,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,bad
829,<0,existing paid,used car,5000<=X<10000,no known savings,>=7,male single,40<X<=50,skilled,bad
830,0<=X<200,delayed previously,business,5000<=X<10000,no known savings,1<=X<4,male single,30<X<=40,skilled,good
831,no checking,delayed previously,business,1000<=X<2500,500<=X<1000,1<=X<4,male single,40<X<=50,skilled,good
832,<0,existing paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,bad
833,<0,no credits/all paid,business,X>=10000,<100,>=7,male single,23<X<=30,skilled,bad
834,0<=X<200,existing paid,radio/tv,5000<=X<10000,no known savings,>=7,female div/dep/mar,40<X<=50,skilled,good
835,>=200,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,unskilled resident,bad
836,<0,no credits/all paid,new car,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,skilled,bad
837,no checking,existing paid,radio/tv,X<1000,no known savings,1<=X<4,female div/dep/mar,X<=23,skilled,good
838,no checking,existing paid,furniture/equipment,X<1000,<100,<1,female div/dep/mar,X<=23,unskilled resident,good
839,<0,critical/other existing credit,used car,2500<=X<5000,<100,>=7,male single,X>60,skilled,good
840,no checking,critical/other existing credit,radio/tv,2500<=X<5000,<100,>=7,male mar/wid,40<X<=50,skilled,good
841,<0,existing paid,furniture/equipment,5000<=X<10000,<100,4<=X<7,male single,23<X<=30,skilled,bad
842,no checking,delayed previously,used car,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
843,no checking,existing paid,repairs,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,bad
844,no checking,all paid,business,1000<=X<2500,<100,4<=X<7,male single,40<X<=50,skilled,good
845,no checking,existing paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,good
846,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
847,no checking,existing paid,new car,5000<=X<10000,no known savings,1<=X<4,male single,X>60,skilled,bad
848,no checking,existing paid,new car,1000<=X<2500,<100,<1,male mar/wid,23<X<=30,skilled,good
849,<0,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,50<X<=60,skilled,good
850,<0,existing paid,radio/tv,X<1000,<100,>=7,male single,50<X<=60,unskilled resident,bad
851,<0,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male mar/wid,30<X<=40,skilled,bad
852,no checking,critical/other existing credit,used car,2500<=X<5000,no known savings,4<=X<7,male single,40<X<=50,skilled,good
853,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,good
854,<0,all paid,new car,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,unskilled resident,bad
855,no checking,delayed previously,new car,X>=10000,<100,>=7,male single,40<X<=50,skilled,good
856,no checking,existing paid,new car,1000<=X<2500,100<=X<500,<1,male mar/wid,30<X<=40,skilled,good
857,no checking,existing paid,retraining,X<1000,no known savings,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
858,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
859,<0,existing paid,new car,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
860,no checking,existing paid,new car,2500<=X<5000,100<=X<500,1<=X<4,male single,23<X<=30,skilled,good
861,no checking,critical/other existing credit,used car,5000<=X<10000,>=1000,1<=X<4,male single,23<X<=30,skilled,good
862,no checking,delayed previously,business,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,skilled,bad
863,<0,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,skilled,bad
864,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,>=1000,<1,male single,30<X<=40,unskilled resident,good
865,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,unskilled resident,bad
866,no checking,existing paid,furniture/equipment,1000<=X<2500,500<=X<1000,1<=X<4,female div/dep/mar,X<=23,skilled,good
867,<0,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,good
868,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,good
869,no checking,existing paid,business,5000<=X<10000,no known savings,>=7,male single,30<X<=40,skilled,good
870,<0,existing paid,furniture/equipment,X<1000,<100,>=7,female div/dep/mar,23<X<=30,skilled,good
871,no checking,delayed previously,furniture/equipment,5000<=X<10000,500<=X<1000,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
872,>=200,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,good
873,<0,critical/other existing credit,business,1000<=X<2500,100<=X<500,4<=X<7,male single,23<X<=30,skilled,good
874,no checking,existing paid,domestic appliance,X<1000,no known savings,<1,female div/dep/mar,23<X<=30,skilled,good
875,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
876,0<=X<200,critical/other existing credit,new car,1000<=X<2500,>=1000,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
877,<0,all paid,radio/tv,1000<=X<2500,<100,<1,male single,30<X<=40,high qualif/self emp/mgmt,good
878,no checking,existing paid,radio/tv,2500<=X<5000,<100,>=7,male single,23<X<=30,skilled,good
879,<0,existing paid,new car,1000<=X<2500,<100,<1,male single,23<X<=30,high qualif/self emp/mgmt,bad
880,no checking,critical/other existing credit,radio/tv,5000<=X<10000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
881,no checking,existing paid,used car,5000<=X<10000,<100,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
882,no checking,existing paid,used car,5000<=X<10000,no known savings,1<=X<4,male div/sep,40<X<=50,skilled,good
883,0<=X<200,critical/other existing credit,new car,1000<=X<2500,no known savings,>=7,male single,30<X<=40,skilled,good
884,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,unemployed,female div/dep/mar,X>60,unemp/unskilled non res,good
885,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,<100,4<=X<7,male div/sep,40<X<=50,skilled,bad
886,<0,existing paid,education,X<1000,<100,<1,female div/dep/mar,50<X<=60,skilled,bad
887,0<=X<200,critical/other existing credit,business,2500<=X<5000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
888,0<=X<200,existing paid,business,X>=10000,<100,1<=X<4,male single,X<=23,skilled,bad
889,no checking,critical/other existing credit,new car,5000<=X<10000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
890,no checking,all paid,used car,5000<=X<10000,no known savings,<1,male single,30<X<=40,skilled,good
891,<0,critical/other existing credit,business,1000<=X<2500,<100,>=7,male single,40<X<=50,high qualif/self emp/mgmt,good
892,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,good
893,<0,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
894,0<=X<200,critical/other existing credit,used car,5000<=X<10000,<100,1<=X<4,male single,30<X<=40,skilled,good
895,no checking,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,1<=X<4,male single,23<X<=30,skilled,good
896,no checking,delayed previously,used car,5000<=X<10000,no known savings,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
897,<0,existing paid,radio/tv,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
898,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,>=1000,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
899,no checking,existing paid,furniture/equipment,1000<=X<2500,no known savings,4<=X<7,female div/dep/mar,30<X<=40,unskilled resident,good
900,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,40<X<=50,skilled,bad
901,<0,critical/other existing credit,new car,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,bad
902,no checking,critical/other existing credit,new car,2500<=X<5000,no known savings,<1,male div/sep,40<X<=50,skilled,good
903,no checking,critical/other existing credit,used car,X>=10000,no known savings,>=7,male single,40<X<=50,skilled,good
904,no checking,existing paid,radio/tv,1000<=X<2500,no known savings,1<=X<4,male mar/wid,30<X<=40,skilled,good
905,no checking,existing paid,radio/tv,1000<=X<2500,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
906,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,X<=23,high qualif/self emp/mgmt,good
907,<0,existing paid,new car,2500<=X<5000,no known savings,4<=X<7,male single,23<X<=30,unskilled resident,good
908,0<=X<200,existing paid,education,2500<=X<5000,no known savings,1<=X<4,male mar/wid,23<X<=30,skilled,good
909,no checking,delayed previously,used car,2500<=X<5000,<100,<1,female div/dep/mar,40<X<=50,unskilled resident,good
910,0<=X<200,existing paid,new car,2500<=X<5000,no known savings,1<=X<4,female div/dep/mar,30<X<=40,unskilled resident,good
911,no checking,delayed previously,radio/tv,2500<=X<5000,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
912,0<=X<200,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,unskilled resident,bad
913,0<=X<200,existing paid,radio/tv,2500<=X<5000,no known savings,>=7,female div/dep/mar,23<X<=30,skilled,good
914,no checking,existing paid,business,1000<=X<2500,>=1000,>=7,male div/sep,23<X<=30,skilled,good
915,<0,all paid,business,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,bad
916,0<=X<200,no credits/all paid,other,X>=10000,<100,1<=X<4,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,bad
917,no checking,existing paid,used car,2500<=X<5000,100<=X<500,1<=X<4,male single,30<X<=40,skilled,good
918,<0,existing paid,new car,X>=10000,<100,>=7,male single,X>60,high qualif/self emp/mgmt,bad
919,<0,existing paid,furniture/equipment,1000<=X<2500,100<=X<500,unemployed,male div/sep,30<X<=40,skilled,bad
920,<0,existing paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,bad
921,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
922,no checking,delayed previously,radio/tv,X>=10000,500<=X<1000,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
923,<0,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,bad
924,0<=X<200,existing paid,new car,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,good
925,<0,all paid,furniture/equipment,5000<=X<10000,<100,<1,male div/sep,50<X<=60,skilled,bad
926,<0,all paid,new car,X<1000,<100,<1,male single,40<X<=50,skilled,bad
927,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,good
928,<0,existing paid,used car,X>=10000,<100,4<=X<7,male single,30<X<=40,skilled,bad
929,no checking,existing paid,radio/tv,1000<=X<2500,no known savings,>=7,male single,50<X<=60,skilled,good
930,<0,delayed previously,new car,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,unskilled resident,good
931,<0,existing paid,furniture/equipment,1000<=X<2500,<100,<1,male single,23<X<=30,unskilled resident,good
932,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,bad
933,no checking,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
934,no checking,critical/other existing credit,radio/tv,X<1000,500<=X<1000,>=7,male single,40<X<=50,skilled,good
935,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,X<=23,skilled,good
936,0<=X<200,delayed previously,radio/tv,1000<=X<2500,100<=X<500,<1,male single,23<X<=30,high qualif/self emp/mgmt,bad
937,>=200,existing paid,radio/tv,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,bad
938,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,male mar/wid,23<X<=30,high qualif/self emp/mgmt,good
939,0<=X<200,existing paid,education,5000<=X<10000,<100,1<=X<4,male single,40<X<=50,skilled,bad
940,no checking,critical/other existing credit,used car,5000<=X<10000,no known savings,1<=X<4,male single,40<X<=50,high qualif/self emp/mgmt,good
941,no checking,existing paid,new car,2500<=X<5000,no known savings,<1,male single,40<X<=50,high qualif/self emp/mgmt,good
942,no checking,existing paid,new car,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
943,no checking,existing paid,furniture/equipment,X<1000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
944,no checking,critical/other existing credit,new car,1000<=X<2500,<100,4<=X<7,male single,40<X<=50,unskilled resident,good
945,<0,existing paid,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,40<X<=50,skilled,good
946,0<=X<200,no credits/all paid,new car,5000<=X<10000,500<=X<1000,<1,female div/dep/mar,23<X<=30,skilled,good
947,<0,all paid,furniture/equipment,2500<=X<5000,500<=X<1000,<1,male single,23<X<=30,skilled,bad
948,no checking,existing paid,new car,2500<=X<5000,no known savings,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
949,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,<1,male mar/wid,40<X<=50,unskilled resident,bad
950,no checking,existing paid,radio/tv,2500<=X<5000,100<=X<500,>=7,male single,30<X<=40,skilled,bad
951,0<=X<200,critical/other existing credit,business,2500<=X<5000,<100,unemployed,male mar/wid,30<X<=40,unemp/unskilled non res,good
952,<0,delayed previously,business,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,bad
953,0<=X<200,existing paid,used car,2500<=X<5000,500<=X<1000,<1,female div/dep/mar,23<X<=30,skilled,bad
954,no checking,existing paid,furniture/equipment,X>=10000,<100,unemployed,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,bad
955,<0,existing paid,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
956,<0,critical/other existing credit,radio/tv,1000<=X<2500,>=1000,>=7,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,good
957,>=200,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,>=7,male single,40<X<=50,unskilled resident,good
958,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male single,30<X<=40,unskilled resident,good
959,<0,existing paid,new car,2500<=X<5000,<100,1<=X<4,male single,40<X<=50,unskilled resident,bad
960,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,100<=X<500,>=7,male single,23<X<=30,skilled,good
961,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male mar/wid,23<X<=30,skilled,good
962,0<=X<200,delayed previously,new car,1000<=X<2500,<100,1<=X<4,male div/sep,40<X<=50,skilled,good
963,no checking,existing paid,new car,2500<=X<5000,no known savings,1<=X<4,male single,23<X<=30,skilled,good
964,no checking,existing paid,radio/tv,1000<=X<2500,500<=X<1000,>=7,male single,30<X<=40,skilled,bad
965,0<=X<200,existing paid,repairs,X<1000,<100,<1,male mar/wid,X<=23,unskilled resident,good
966,0<=X<200,existing paid,radio/tv,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
967,0<=X<200,critical/other existing credit,radio/tv,2500<=X<5000,500<=X<1000,1<=X<4,male single,X<=23,unskilled resident,bad
968,no checking,existing paid,radio/tv,2500<=X<5000,<100,>=7,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,good
969,no checking,existing paid,radio/tv,5000<=X<10000,no known savings,4<=X<7,male mar/wid,23<X<=30,skilled,good
970,<0,critical/other existing credit,new car,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
971,0<=X<200,existing paid,repairs,1000<=X<2500,100<=X<500,1<=X<4,male single,X<=23,skilled,good
972,no checking,existing paid,new car,5000<=X<10000,<100,1<=X<4,male single,40<X<=50,unskilled resident,good
973,<0,all paid,new car,1000<=X<2500,<100,unemployed,female div/dep/mar,23<X<=30,unemp/unskilled non res,bad
974,<0,existing paid,business,5000<=X<10000,<100,>=7,male single,30<X<=40,skilled,bad
975,no checking,critical/other existing credit,radio/tv,2500<=X<5000,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
976,>=200,existing paid,radio/tv,1000<=X<2500,500<=X<1000,1<=X<4,female div/dep/mar,50<X<=60,unskilled resident,good
977,0<=X<200,existing paid,radio/tv,X<1000,<100,1<=X<4,female div/dep/mar,X>60,skilled,good
978,0<=X<200,delayed previously,business,1000<=X<2500,no known savings,>=7,male single,40<X<=50,skilled,good
979,no checking,delayed previously,new car,2500<=X<5000,<100,>=7,male single,40<X<=50,unskilled resident,bad
980,0<=X<200,all paid,new car,1000<=X<2500,100<=X<500,1<=X<4,male mar/wid,23<X<=30,skilled,bad
981,0<=X<200,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,4<=X<7,male single,40<X<=50,skilled,bad
982,no checking,existing paid,business,2500<=X<5000,<100,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,bad
983,>=200,existing paid,new car,2500<=X<5000,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
984,<0,existing paid,used car,5000<=X<10000,<100,1<=X<4,male single,23<X<=30,skilled,bad
985,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,unskilled resident,good
986,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
987,>=200,no credits/all paid,business,5000<=X<10000,<100,<1,male div/sep,30<X<=40,skilled,good
988,no checking,existing paid,radio/tv,1000<=X<2500,100<=X<500,unemployed,female div/dep/mar,X>60,skilled,good
989,<0,existing paid,used car,5000<=X<10000,<100,unemployed,male single,23<X<=30,high qualif/self emp/mgmt,good
990,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male single,40<X<=50,unskilled resident,good
991,no checking,critical/other existing credit,education,2500<=X<5000,no known savings,<1,male single,30<X<=40,unskilled resident,good
